# Starfield material bridge generated from local materialsbeta.cdb
# material	diffuse	confidence	method	texture-set
materials/ships/interior/nova/paneldecals1n.mat	textures/ships/discovery/paneldecals1_color.dds	0.9120	fuzzy-stem	PanelDecals1_TextureSet1
materials/ships/interior/shiprm_table_coffeestain01.mat	textures/ships/interior/shiprm_table_clutter/shiprm_table_tissues01_color.dds	0.9900	exact-stem	ShipRm_Table_CoffeeStain01_TextureSet1
materials/ships/interior/shiprm_table_tissues01.mat	textures/ships/interior/shiprm_table_clutter/shiprm_table_tissues01_color.dds	0.9900	exact-stem	ShipRm_Table_Tissues01_TextureSet1
materials/ships/pirate/ship_pirate_hullgreebles01.mat	textures/ships/pirate/ship_pirate_hullgreebles01_color.dds	0.9900	exact-stem	Ship_Pirate_HullGreebles01_TextureSet1
# unresolved	materials/architecture/city/newatlantis/basematerials/naglow01.mat
# unresolved	materials/architecture/city/newatlantis/basematerials/naglow01_orange01.mat
# unresolved	materials/architecture/city/newatlantis/basematerials/naplasticplaintextured01_base.mat
# unresolved	materials/architecture/city/newatlantis/glowblue01.mat
# unresolved	materials/architecture/city/newatlantis/glowblue01dull.mat
# unresolved	materials/architecture/city/newatlantis/glowwhite.mat
# unresolved	materials/architecture/city/newatlantis/naconcreteseamed_layered01.mat
# unresolved	materials/architecture/city/newatlantis/naglasspattern02.mat
# unresolved	materials/architecture/city/newatlantis/nagroundgrass_layered01.mat
# unresolved	materials/architecture/city/newatlantis/nalightstripglow01.mat
# unresolved	materials/architecture/city/newatlantis/nametalpaintedpattern01_darkgrey01.mat
# unresolved	materials/architecture/city/newatlantis/nametalpanels01.mat
# unresolved	materials/architecture/city/newatlantis/naplasticcirclepattern01.mat
# unresolved	materials/architecture/city/newatlantis/naplasticplainmatte02_grey01.mat
# unresolved	materials/architecture/city/newatlantis/naplasticplainsmooth02_greydark01_layered01.mat
# unresolved	materials/architecture/city/newatlantis/naplasticplainsmooth02_teal01.mat
# unresolved	materials/architecture/city/newatlantis/naplasticplaintranslucent01.mat
# unresolved	materials/architecture/city/newatlantis/nastreetlamp01_glow01.mat
# unresolved	materials/architecture/city/newatlantis/signage/na_signage_jemisonmercantile01.mat
# unresolved	materials/architecture/generic/commercial/compaintedscuffed01_white01.mat
# unresolved	materials/architecture/generic/commercial/complastic01_black01.mat
# unresolved	materials/architecture/generic/shafts/metalaluminumworn01_plain01.mat
# unresolved	materials/architecture/generic/shafts/metalaluminumworn01_plain02.mat
# unresolved	materials/architecture/generic/shafts/textilecarpet01_floor01.mat
# unresolved	materials/architecture/generic/shafts/trimmechanical01_generic01.mat
# unresolved	materials/architecture/generic/shafts/trimtech01_generic01.mat
# unresolved	materials/architecture/generic/shafts/trimtech02_generic01.mat
# unresolved	materials/architecture/industrialkit/interiors/indintmetaltilegrey03.mat
# unresolved	materials/architecture/industrialkit/interiors/indintmetaltilewhite01dup01.mat
# unresolved	materials/architecture/industrialkit/interiors/indintmetaltrimgrey01.mat
# unresolved	materials/architecture/industrialkit/interiors/indintmetaltrimgrey03.mat
# unresolved	materials/architecture/sciencekit/sciencepanelplain01_ceiling01.mat
# unresolved	materials/architecture/sciencekit/sciencepanelplain01_ceiling02.mat
# unresolved	materials/architecture/sciencekit/sciencerubbersurface01_pattern01.mat
# unresolved	materials/architecture/sciencekit/sciencerubbersurface01_surface01.mat
# unresolved	materials/architecture/spacestationkit/stnfloorpanelsdecal01n.mat
# unresolved	materials/architecture/terrabrew/tbdecalsheet01.mat
# unresolved	materials/architecture/terrabrew/tbfloorconcretepolished.mat
# unresolved	materials/architecture/terrabrew/tbplasticplainsmooth02_yellow.mat
# unresolved	materials/architecture/terrabrew/tbplasticsoftmatte01.mat
# unresolved	materials/architecture/terrabrew/tbtrianglepattern02.mat
# unresolved	materials/common/decal/decalboltstrims01n.mat
# unresolved	materials/common/decal/decalletterlineoverlay01.mat
# unresolved	materials/common/decal/decalmetalbevels01.mat
# unresolved	materials/common/decal/decalmetalbevels01n.mat
# unresolved	materials/common/decal/decalmetalbevels02n.mat
# unresolved	materials/common/decal/decalmetalbevels03n.mat
# unresolved	materials/common/decal/decalmetalbevels04n.mat
# unresolved	materials/common/decal/detailsbuttonsknobs_01n.mat
# unresolved	materials/common/glass/glasscleanopaque01.mat
# unresolved	materials/common/glass/glasscleanopaquedark01.mat
# unresolved	materials/common/glass/glasscleanopaquedark02.mat
# unresolved	materials/common/glass/glasscleantransparent01.mat
# unresolved	materials/common/glass/glassopaquesolartiles01.mat
# unresolved	materials/common/glow/glowbright01.mat
# unresolved	materials/common/glow/glowbright01_round.mat
# unresolved	materials/common/glow/glowbright01orange01.mat
# unresolved	materials/common/glow/glowmedium01.mat
# unresolved	materials/common/glow/glowmedium02blue.mat
# unresolved	materials/common/metal/metalbronze01.mat
# unresolved	materials/common/plastic/plasticfiberglasssmooth01.mat
# unresolved	materials/common/plastic/plasticplainsmooth03.mat
# unresolved	materials/common/plastic/plasticplaintextured01.mat
# unresolved	materials/common/rubber/rubberbare01.mat
# unresolved	materials/common/rubber/rubberbare02.mat
# unresolved	materials/common/rubber/rubberbare04.mat
# unresolved	materials/common/rubber/rubbertexturedcracks01.mat
# unresolved	materials/common/utility/baseplaceholder/blanknorender01.mat
# unresolved	materials/common/utility/baseplaceholder/blanknorender02.mat
# unresolved	materials/common/utility/decal_blank_off01.mat
# unresolved	materials/effects/emissives/genericglow01_blue.mat
# unresolved	materials/effects/emissives/genericglow01_orange.mat
# unresolved	materials/effects/emissives/genericglow01_yellow.mat
# unresolved	materials/landscape/plants/vines/plantvineivy01wind.mat
# unresolved	materials/landscape/plants/vines/plantvineivycards01wind.mat
# unresolved	materials/landscape/rocks/sharp/rocksharpsmall03.mat
# unresolved	materials/landscape/slabs/sharp/slabsharpmossy01.mat
# unresolved	materials/landscape/trees/treecypress/treecypresscityleaves01.mat
# unresolved	materials/landscape/trees/treemesa/treemesa01.mat
# unresolved	materials/landscape/trees/treemesa/treemesacanopytile01_alpha.mat
# unresolved	materials/setdressing/bar_mat/barmat_base01.mat
# unresolved	materials/setdressing/bar_mat/barmat_rubber01.mat
# unresolved	materials/setdressing/brooms/brooms_metalaluminiumscratched01.mat
# unresolved	materials/setdressing/brooms/brooms_plasticplainsmooth03_beige.mat
# unresolved	materials/setdressing/brooms/brooms_plasticplainsmooth03_black.mat
# unresolved	materials/setdressing/cautionconeandtape/cautionconeandtape_plastic.mat
# unresolved	materials/setdressing/cautionconeandtape/cautionconeandtape_rubber.mat
# unresolved	materials/setdressing/coathanger/coathanger_metalaluminium01.mat
# unresolved	materials/setdressing/coathanger/coathanger_plasticplaintextured01_black.mat
# unresolved	materials/setdressing/common_materialswaps/glow/glowbright01tint_purple01.mat
# unresolved	materials/setdressing/common_materialswaps/metal/metalaluminium02_black01.mat
# unresolved	materials/setdressing/common_materialswaps/patterns/abstractpattern01_tint01.mat
# unresolved	materials/setdressing/common_materialswaps/plastic/plasticplainmatte01_basewhite01.mat
# unresolved	materials/setdressing/common_materialswaps/plastic/plasticplainsmooth02_swap_black01.mat
# unresolved	materials/setdressing/desktopitems/exotic_coffeebrewingmachine_metal_bronze.mat
# unresolved	materials/setdressing/desktopitems/exotic_coffeebrewingmachine_metal_gray01.mat
# unresolved	materials/setdressing/desktopitems/exotic_coffeebrewingmachine_plastic_black01.mat
# unresolved	materials/setdressing/desktopitems/exotic_coffeebrewingmachine_rubber_gray01.mat
# unresolved	materials/setdressing/greebles/paintscratched2layer_grey01.mat
# unresolved	materials/setdressing/greebles/plasticplainsmooth04_base01.mat
# unresolved	materials/setdressing/kiosk/glassopaquesolartiles01_base01.mat
# unresolved	materials/setdressing/kiosk/rubbertexturedcracks01_green01.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_decal_letters.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_glow_brown.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_metal_gray.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_metal_white.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_metalbrush_gray.mat
# unresolved	materials/setdressing/neon/props/industrialcoffeemachine/industrialcoffeemachine_plastic_black.mat
# unresolved	materials/setdressing/papertowel/papertowel_office_notepads01.mat
# unresolved	materials/setdressing/papertowel/papertowel_shiprmtable_tissues01.mat
# unresolved	materials/setdressing/papertowel/papertowel_shiprmtable_tissues01_brown.mat
# unresolved	materials/setdressing/papertray/papertray_decal01.mat
# unresolved	materials/setdressing/papertray/papertray_plastic.mat
# unresolved	materials/setdressing/planters/concreteplain01_planter01.mat
# unresolved	materials/setdressing/planters/concreteplain01_planter_black01.mat
# unresolved	materials/setdressing/planters/concreteplain01_planter_white01.mat
# unresolved	materials/setdressing/towels/bathtowels_textilecarpet04_red.mat
# unresolved	materials/setdressing/utilitycarts/janitorcart01/janitorcart01_decals.mat
# unresolved	materials/ships/interior/nova/shipplastictexturedgray.mat
# unresolved	materials/ships/interior/shipconsolebuttondecalswhite.mat
# unresolved	materials/ships/interior/shiphardware.mat
# unresolved	materials/water/waterplaceholder.mat
